Row#,Page/Endpoint Name,Route/URL Pattern,Type,Priority,Auditor Tool,Perf Check,SEO Check,A11y Check,Security Check,Content Check,Functional Check,Audit Status,Notes
1,Newsletter Subscribe,/api/newsletter/subscribe,API-POST,HIGH,Claude CLI,Response < 300ms; email delivery async; no blocking,N/A — API endpoint,N/A — API endpoint,Email validated (RFC format); CSRF/honeypot protection; rate limiting (3 attempts per IP per hour); double opt-in enforced; DPDPA 2023 consent recorded; no existing subscriber silently ignored,N/A — subscribe endpoint,Valid email → confirmation email sent; duplicate email → 200 without re-adding; invalid email → 400; rate limiting triggers; consent timestamp stored,Not Started,Double opt-in is required for DPDPA 2023 compliance — verify confirmation email is sent
2,Newsletter Unsubscribe,/api/newsletter/unsubscribe,API-POST,HIGH,Claude CLI,Response < 300ms; DB update fast,N/A — API endpoint,N/A — API endpoint,Unsubscribe token validated (server-side); single-use token; no CSRF unsubscription possible; no email required in body (token only); unsubscribe honoured immediately per CAN-SPAM/DPDPA,N/A — unsubscribe endpoint,Valid token → unsubscribed and confirmation page shown; invalid token → 400; already unsubscribed → 200 idempotent,Not Started,Unsubscribe must be honoured within 10 business days per DPDPA — verify immediate effect
3,Contact Form Submit,/api/contact,API-POST,HIGH,Claude CLI,Response < 500ms; email send async; no blocking UI,N/A — API endpoint,N/A — API endpoint,Input sanitized (no XSS/HTML injection); rate limiting (5 per IP per hour); honeypot or reCAPTCHA; no email harvesting; contact data not stored beyond delivery; CSRF token,N/A — contact endpoint,Form submits; admin email received; auto-reply to sender; rate limiting triggers; invalid payload returns 400; spam bot honeypot filters correctly,Not Started,Test end-to-end — admin email must arrive; verify auto-reply sends; check rate limiting
4,Support Ticket Create,/api/support/ticket,API-POST,HIGH,Claude CLI,Response < 500ms; file upload async; no blocking,N/A — API endpoint,N/A — API endpoint,Auth required — reject unauthenticated requests; CSRF token; file upload: type validation by MIME bytes + size limit; filename sanitized; ticket ID not guessable (UUID); rate limiting per user,N/A — ticket creation,Auth guard works; ticket created with UUID; file attachment processed; confirmation email with ticket ID sent; rate limiting triggers; unauthenticated returns 401,Not Started,🔴 File upload must validate MIME bytes not just extension — prevent malware upload
5,WhatsApp Subscribe,/api/whatsapp/subscribe,API-POST,MEDIUM,Claude CLI,Response < 300ms; WhatsApp API async; no blocking,N/A — API endpoint,N/A — API endpoint,Phone number validated (E.164 format); rate limiting; consent recorded per DPDPA; WhatsApp Business API credentials in env only,N/A — subscribe endpoint,Valid phone → WhatsApp opt-in message sent; invalid phone → 400; duplicate subscription → 200 idempotent; consent stored,Not Started,WhatsApp opt-in requires explicit consent per WhatsApp Business Policy — verify consent flow
6,WhatsApp Webhook,/api/whatsapp/webhook,Webhook,HIGH,Claude CLI,Webhook processed < 2s; async job queue for slow tasks,N/A — API endpoint,N/A — API endpoint,WhatsApp webhook signature verified (X-Hub-Signature-256); replay attack protection (timestamp check); idempotent message processing; no PII logged; HTTPS only,N/A — webhook receiver,Signature verification works; valid webhook events processed correctly; invalid signature returns 403; duplicate message IDs deduped,Not Started,🔴 Verify X-Hub-Signature-256 on every request — missing verification = spoofed messages accepted
7,Email Alert Send,/api/email/send-alert,API-POST,HIGH,Claude CLI,Response < 300ms; email send async via Resend; no blocking,N/A — API endpoint,N/A — API endpoint,Auth/cron secret required — not public endpoint; recipient email validated; email template sanitized (no injection); rate limiting per alert type; no PII in logs,Alert content accurate; subject line clear; unsubscribe link present in email; brand consistent,Alert sent to correct recipient; Resend API error handled; invalid payload returns 400; rate limiting prevents alert spam,Not Started,Protect endpoint with CRON_SECRET or admin auth — must not be triggerable by public
8,SMS Subscribe,/api/sms/subscribe,API-POST,MEDIUM,Claude CLI,Response < 300ms; SMS provider async,N/A — API endpoint,N/A — API endpoint,Phone number E.164 validated; TRAI DND registry check required (India); consent recorded; rate limiting; SMS provider credentials in env only,N/A — subscribe endpoint,Valid phone → SMS opt-in confirmation sent; DND number rejected; invalid phone → 400; consent stored,Not Started,⚠️ Indian TRAI DND compliance mandatory — scrub against DND registry before sending SMS
9,Push Subscribe,/api/push/subscribe,API-POST,MEDIUM,Claude CLI,Response < 200ms; subscription stored in DB,N/A — API endpoint,N/A — API endpoint,Push subscription object validated; VAPID keys in env only; subscription endpoint validated (not arbitrary URL); auth optional,N/A — subscribe endpoint,Valid push subscription stored; duplicate subscription handled; invalid subscription object returns 400,Not Started,Validate push subscription endpoint domain — prevent SSRF via malicious subscription object
10,VAPID Key,/api/push/vapid-key,API-GET,MEDIUM,Claude CLI,Response < 100ms; static response cached,N/A — API endpoint,N/A — API endpoint,Returns only VAPID public key — never private key; no auth required; rate limiting,N/A — key endpoint,Returns correct VAPID public key; private key never in response; rate limiting works,Not Started,Confirm only public VAPID key is returned — private key must stay server-side only
11,CRM Contact,/api/crm/contact,API-POST,MEDIUM,Claude CLI,Response < 500ms; CRM write async,N/A — API endpoint,N/A — API endpoint,Auth required; input sanitized; CRM API credentials in env only; rate limiting; DPDPA consent check before storing PII,N/A — CRM endpoint,Contact record created in CRM; duplicate contact handled; CRM API error handled gracefully; auth guard works,Not Started,Verify DPDPA consent is checked before storing contact PII in CRM
