Row#,Page/Endpoint Name,Route/URL Pattern,Type,Priority,Auditor Tool,Perf Check,SEO Check,A11y Check,Security Check,Content Check,Functional Check,Audit Status,Notes
1,Legal Hub,/legal,Static,LOW,Claude CLI,Fast text load; no heavy assets,Title: Legal - CloudBasket; meta desc; H1; Sitemap; links to all sub-pages,Heading structure; all links descriptive; keyboard nav,Low risk — no forms,All legal sub-pages linked correctly; no missing legal pages; last-updated dates correct,All sub-page links navigate correctly; no 404 links,Not Started,Quick audit — ensure all sub-pages are reachable from this hub
2,Privacy Policy,/legal/privacy,Static,HIGH,Claude CLI + Gemini CLI,Fast text load; no heavy assets,Title: Privacy Policy - CloudBasket; meta desc; canonical; Sitemap,Readable font ≥16px; heading structure; TOC with anchor links,Low risk — no form; ensure HTTPS link to policy in all forms across site,Indian IT Act 2000 + DPDPA 2023 compliant; data collected listed; third parties disclosed (Supabase/Resend/etc.); retention period stated; user rights stated; grievance officer contact; last-updated date current,TOC anchor links work; contact/email links open mail client; PDF download if present works,Not Started,Must comply with India's Digital Personal Data Protection Act 2023 — critical legal requirement
3,Terms of Service,/legal/terms,Static,HIGH,Claude CLI + Gemini CLI,Fast text load,Title: Terms of Service - CloudBasket; meta desc; canonical; Sitemap,Readable font; heading structure; TOC with anchor links,Low risk,Indian Consumer Protection Act 2019 compliant; governing law = India; dispute resolution stated; affiliate disclaimer present; POD product terms; IP/copyright clause; account termination terms; last-updated current,TOC anchor links work; contact links work; PDF download works if present,Not Started,Governing law must specify India — verify jurisdiction clause is explicit
4,Cookies Policy (/legal),/legal/cookies,Static,MEDIUM,Claude CLI,Fast text load,Title: Cookies Policy - CloudBasket; meta desc; canonical; Sitemap,Readable; heading structure,Low risk,Cookie categories listed (essential/analytics/marketing); third-party cookies disclosed; opt-out instructions clear; last-updated current,Anchor links work; cookie management link works if present,Not Started,Audit actual cookies set in browser DevTools — policy must match reality
5,Cookies Policy (Legacy),/cookies,Static,MEDIUM,Claude CLI,Fast text load,Canonical should point to /legal/cookies if duplicate; consider 301 redirect,Readable; heading structure,Low risk,Same content check as /legal/cookies; verify not contradicting /legal/cookies,All links work; confirm 301 redirect or unique canonical set,Not Started,⚠️ Likely duplicate of /legal/cookies — add 301 redirect or canonical pointing to /legal/cookies
6,Disclaimer,/legal/disclaimer,Static,MEDIUM,Claude CLI,Fast text load,Title: Disclaimer - CloudBasket; meta desc; canonical; Sitemap,Readable; heading structure,Low risk,Affiliate disclaimer; price accuracy disclaimer; no financial advice disclaimer; AI-generated content disclaimer if applicable; last-updated current,All disclaimer text links work; TOC anchor links work,Not Started,Critical for affiliate site — price accuracy disclaimer must be strong and prominent
7,Disclaimer PDF,/legal/disclaimer/pdf,Static,LOW,Claude CLI,Fast PDF render; no heavy assets,Noindex — PDF view; canonical → /legal/disclaimer,PDF accessible; printable,Low risk,Same content as /legal/disclaimer; PDF formatted correctly; logo present; date on PDF,PDF renders in browser; content matches HTML version; print works,Not Started,⚠️ Noindex required — avoid duplicate content penalty vs HTML version
8,DMCA Policy,/legal/dmca,Static,MEDIUM,Claude CLI,Fast text load,Title: DMCA Policy - CloudBasket; meta desc; canonical; Sitemap,Readable; heading structure,Low risk,DMCA takedown procedure stated; DMCA agent contact correct; counter-notice procedure stated; copyright agent info; last-updated,DMCA contact email works; physical address correct if listed,Not Started,Verify DMCA agent contact email is actively monitored
9,Accessibility Statement,/legal/accessibility,Static,MEDIUM,Claude CLI + User,Fast text load,Title: Accessibility Statement - CloudBasket; meta desc; canonical; Sitemap,This page itself must pass WCAG 2.1 AA — meta requirement; heading structure; readable font,Low risk,WCAG 2.1 AA commitment stated; known issues listed honestly; contact for accessibility requests; last-updated current,Accessibility contact email/form works,Not Started,⚠️ The accessibility page itself must pass WCAG 2.1 AA — validate with axe DevTools
10,Refund Policy,/legal/refund-policy,Static,HIGH,Claude CLI + Gemini CLI,Fast text load,Title: Refund Policy - CloudBasket; meta desc; canonical; Sitemap,Readable; heading structure; TOC,Low risk,Consumer Protection Act 2019 compliant; POD refund terms (custom items non-refundable stated); affiliate purchase refund note (directed to retailer); refund timeline stated; dispute contact; last-updated current,TOC anchor links work; contact links work; PDF download if present works,Not Started,POD refund policy must clearly state custom/personalised items may not be refundable
11,Refund Policy PDF,/legal/refund-policy/pdf,Static,LOW,Claude CLI,Fast PDF render,Noindex — PDF view; canonical → /legal/refund-policy,PDF accessible; printable,Low risk,Same content as HTML version; formatted correctly; logo and date on PDF,PDF renders; content matches HTML version; print works,Not Started,⚠️ Noindex required — duplicate of HTML version
12,Grievance Officer,/legal/grievance-officer,Static,HIGH,Claude CLI,Fast text load,Title: Grievance Officer - CloudBasket; meta desc; canonical; Sitemap,Readable; heading structure,Low risk,Indian IT Act 2000 Rule 3(11) mandatory — officer name; designation; contact email; response timeline (acknowledge 24h / resolve 15 days); physical address for notices; last-updated current,Grievance officer email works; physical address correct,Not Started,🔠 Mandatory under Indian IT Act 2000 — verify officer details are real and email is monitored; non-compliance = legal risk
13,Legal Affiliate Disclosure,/legal/affiliate-disclosure,Static,MEDIUM,Claude CLI,Fast text load,Title: Affiliate Disclosure (Legal); canonical; check if duplicate of /affiliate-disclosure,Readable; heading structure,Low risk,ASCI + FTC compliant; all affiliate networks disclosed; if duplicate of /affiliate-disclosure → 301 redirect,Links in disclosure text work; 301 redirect in place if applicable,Not Started,⚠️ Investigate duplication with /affiliate-disclosure — consolidate with 301 redirect or explicit canonical
