Row#,Page/Endpoint Name,Route/URL Pattern,Type,Priority,Auditor Tool,Perf Check,SEO Check,A11y Check,Security Check,Content Check,Functional Check,Audit Status,Notes
1,Automation Webhook,/api/automation/webhook,Webhook,HIGH,Claude CLI,Processed < 2s; async job queue for slow tasks,N/A — API endpoint,N/A — API endpoint,Webhook signature verified; HTTPS only; IP allowlist if applicable; idempotent processing; replay protection via timestamp,N/A — automation receiver,Signature check works; valid events trigger correct automation; invalid signature returns 403; duplicate events deduped,Not Started,🔴 Verify signature validation on every request — missing check = arbitrary automation trigger
2,Alerts Trigger,/api/alerts/trigger,API-POST,HIGH,Claude CLI,Response < 300ms; alert delivery async,N/A — API endpoint,N/A — API endpoint,Auth/cron secret required — not public; payload validated; rate limiting; no alert spam per user per day,N/A — trigger endpoint,Alert triggers correctly for valid payload; delivery channel (email/push/SMS) fires; invalid payload returns 400; rate limiting prevents spam,Not Started,Protect with CRON_SECRET — must not be publicly triggerable
3,Ads Analytics,/api/analytics/ads,API-POST,MEDIUM,Claude CLI,Response < 200ms; async write; batched logging,N/A — API endpoint,N/A — API endpoint,Advertiser ID validated; no PII beyond consent; rate limiting; no click injection; idempotent on duplicate event IDs,N/A — analytics endpoint,Ad event logged correctly; duplicate events deduped; invalid payload returns 400; rate limiting works,Not Started,Dedup ad events — prevent inflated analytics skewing advertiser reporting
4,Associates Apply,/api/associates/apply,API-POST,MEDIUM,Claude CLI,Response < 500ms; async confirmation email,N/A — API endpoint,N/A — API endpoint,Input sanitized; rate limiting (1 application per email per 24h); CSRF token; no PII leakage in response; spam protection (honeypot/reCAPTCHA),N/A — application endpoint,Application stored; confirmation email sent; duplicate application handled; rate limiting triggers; invalid payload returns 400,Not Started,Rate limit strictly — 1 application per email per 24h; add spam/bot protection
5,Cron Daily Deals,/api/cron/daily-deals,API-GET,MEDIUM,Claude CLI,Job completes < 30s; async processing; no timeout on large catalog,N/A — API endpoint,N/A — API endpoint,CRON_SECRET required in Authorization header; not publicly accessible; idempotent — safe to re-run; no data corruption on duplicate run,N/A — cron job,Daily deals updated correctly; expired deals removed; new deals fetched from sources; cron secret validation works; job completion logged,Not Started,Protect with CRON_SECRET — verify Vercel Cron configuration is correct and secret is set
6,Cron Weekly Digest,/api/cron/weekly-digest,API-GET,MEDIUM,Claude CLI,Job completes < 60s; email batch send async,N/A — API endpoint,N/A — API endpoint,CRON_SECRET required; not public; subscriber list fetched from DB (not hardcoded); unsubscribed users excluded; rate-limited email sends,N/A — digest cron,Weekly digest emails sent to subscribed users; unsubscribed users excluded; cron secret validation works; email delivery confirmed,Not Started,Verify unsubscribed users are excluded from digest — DPDPA compliance
7,Currency Rates,/api/currency/rates,API-GET,MEDIUM,Claude CLI,Response < 300ms; rates cached 1h; external API cached,N/A — API endpoint,N/A — API endpoint,No credentials in response; rate limiting; external currency API key in env only; no SSRF via currency code param,Currency codes validated (whitelist); rates accurate; INR as base currency; source API error handled,Valid currency codes return rates; invalid code returns 400; source API down returns cached rates; rate limiting works,Not Started,Cache aggressively — currency rates do not need real-time; validate currency code against strict whitelist
8,Deals Discover,/api/deals/discover,API-GET,HIGH,Claude CLI,Response < 500ms; Redis cached 15min; paginated,N/A — API endpoint,N/A — API endpoint,No credentials in response; rate limiting; query params sanitized; affiliate IDs protected,Deal data accurate; expired deals excluded; affiliate IDs correct; INR pricing,Deals returned for valid request; expired deals filtered; pagination works; source API error handled gracefully,Not Started,Verify expired deals are filtered server-side — not just client-side
9,Invoice Generator,/api/documents/invoice,API-POST,MEDIUM,Claude CLI,PDF generated < 3s; async if large,N/A — API endpoint,N/A — API endpoint,Auth required; order ID validated against requesting user (no IDOR); no PII in URL params; PDF generation sandboxed; no server-side path traversal in PDF template,Invoice data accurate (order/price/tax/GST); company details correct; GST number present; INR pricing; PDF formatted correctly,Auth guard works; valid order ID returns correct invoice PDF; another user's order ID returns 403; malformed order ID returns 400,Not Started,🔴 IDOR risk — verify user can only download their own invoices; check GST compliance on invoice format
10,Browser Extension Price Check,/api/extension/price-check,API-GET,MEDIUM,Claude CLI,Response < 500ms; cached per product URL; CORS configured,N/A — API endpoint,N/A — API endpoint,CORS restricted to extension origin only; URL param sanitized (no SSRF); rate limiting per IP; affiliate credentials in env only,Price data accurate for given product URL; affiliate tag appended; competitor prices compared correctly,Valid product URL returns price comparison; invalid/non-product URL returns 400; CORS blocks non-extension origins; rate limiting works,Not Started,⚠️ Restrict CORS to extension origin only — unrestricted CORS = public price API abuse
