#,Page Name,Route,Section Group,Localhost URL,Production URL,Page Type,Priority,Lighthouse,Gemini CLI,Claude AI,User Manual,Primary Auditor,Performance Checks,SEO Checks,Accessibility Checks,Security Checks,Content Checks,UX/UI Checks,Functional Checks,Audit Status,Notes
1,Home,/,Landing,http://localhost:3000/,https://cloudbasket.in/,Static - Landing,CRITICAL,Yes,Yes,Yes,Yes,ALL,LCP < 2.5s; CLS < 0.1; INP < 200ms; Hero image WebP + lazy; Bundle < 300KB; Defer non-critical JS; Preload fonts; No render-blocking resources,Title: CloudBasket - Design Print Earn; Meta desc 150-160 chars unique; H1 visible and keyword-rich; OG title+image+desc; Schema: WebSite + Organization; Sitemap indexed; Canonical self-ref; No duplicate tags,Skip-to-content link; Logo img alt text; CTA buttons ARIA labeled; Color contrast 4.5:1 min; Hero text readable on mobile; Keyboard tab order logical; ARIA landmarks present,CSP headers verified; Newsletter form CSRF token; Affiliate links rel=noopener noreferrer; No API keys in DOM; External scripts audited; HTTPS enforced,Tagline 'Design. Print. Earn.' exact; Hero copy compelling; CTA text clear; Brand colors #039BE5 / #E65100 applied; No placeholder text; Social proof present,Mobile-first responsive; Sticky header scrolls correctly; Footer links complete; WhatsApp button visible but not intrusive; Design tokens applied; Typography hierarchy correct,Newsletter signup submits and confirms; WhatsApp href correct; All nav links functional; Affiliate redirect /go/ fires tracking; Hero CTA leads to correct page; ChatBot opens,Not Started,Most critical page — test on real mobile device first
2,About,/about,Marketing,http://localhost:3000/about,https://cloudbasket.in/about,Static - Informational,HIGH,Yes,Yes,No,Yes,Gemini CLI + User,LCP < 2.5s; Images compressed; No unused JS; Fast TTFB,Title unique; Meta desc; H1; OG tags; Schema: AboutPage or Organization; Internal links to key pages,Heading hierarchy H1>H2>H3; Image alts; Readable font size ≥16px; Contrast OK,No forms — low risk; External links noopener,Team info accurate; Company story correct; Mission statement aligned with brand; No outdated info; NEXQON reference if applicable,Brand colors applied; Team photos load; Mobile layout correct; Consistent with design system,All internal links work; Team social links open correctly; CTA buttons navigate correctly,Not Started,Ensure NEXQON / cloudbasket relationship is stated correctly
3,Careers,/careers,Marketing,http://localhost:3000/careers,https://cloudbasket.in/careers,Static - Informational,MEDIUM,Yes,Yes,No,Yes,Gemini CLI + User,LCP < 2.5s; Page load fast; Minimal JS,Title: Careers at CloudBasket; Meta desc; H1; No-index if no open roles; Schema: JobPosting if roles listed,Heading structure; Job listing markup accessible; Apply CTA ARIA labeled,Application form CSRF if present; File upload validation if resume upload,Job listings accurate and current; Role descriptions complete; No expired postings; Contact info correct,Responsive layout; Job cards readable; CTA 'Apply Now' prominent,Apply button/link works; Contact form sends; Email link valid,Not Started,Mark no-index if page has no active job listings
4,Pricing,/pricing,Marketing,http://localhost:3000/pricing,https://cloudbasket.in/pricing,Static - Informational,HIGH,Yes,Yes,Yes,Yes,All,LCP < 2s; Pricing table renders without CLS; No layout shift on toggle (monthly/annual),Title: CloudBasket Pricing Plans; Meta desc; H1; Schema: PriceSpecification or Offer; OG tags,Pricing table accessible — not just visual; Screen reader reads prices correctly; Toggle labeled; Keyboard navigable,Price data not manipulable client-side; Checkout link goes to secure page; No hardcoded credentials,Prices accurate and current; Feature matrix correct; CTA buttons clear (Free/Pro/Enterprise); Currency INR shown; FAQs present if applicable,Toggle switch for billing cycle works visually; Plan comparison clear; CTA contrast; Mobile stacked layout correct,Plan toggle switches correctly; CTA leads to correct signup/checkout; Contact Sales link works,Not Started,Verify pricing matches actual product offerings
5,Partners,/partners,Marketing,http://localhost:3000/partners,https://cloudbasket.in/partners,Static - Informational,MEDIUM,Yes,Yes,No,Yes,Gemini CLI + User,Fast load; Partner logo images optimized; Lazy load logos,Title; Meta desc; H1; Schema: Organization; Partner links tracked,Image alts for partner logos; Heading structure; Keyboard navigation,External partner links noopener; No sensitive partner data exposed,Partner logos current; Partner descriptions accurate; CTA to apply clear; No broken partnerships listed,Logo grid responsive; Partner CTAs visible; Brand consistent,Partner logos load; Apply/contact link works; External partner links open correctly,Not Started,Verify all listed partners are active and logos are current
6,App Page,/app,Marketing,http://localhost:3000/app,https://cloudbasket.in/app,Static - App Landing,MEDIUM,Yes,Yes,No,Yes,Lighthouse + User,App store button images optimized; LCP < 2s; No excess JS,Title; Meta desc; H1; App Schema (SoftwareApplication); OG with app preview,App preview images alt text; Download CTA ARIA labeled; Mobile layout accessible,External app store links noopener; No app credentials exposed,App description accurate; Features listed correct; Download links valid; Platform icons correct (iOS/Android),Mobile-first design; App preview/mockup renders correctly; CTA buttons prominent,App store links open correctly; QR code (if present) functional; Contact/feedback link works,Not Started,Ensure app store links point to correct listings
7,Products (Listing),/products,Commerce,http://localhost:3000/products,https://cloudbasket.in/products,Dynamic - Product Grid,CRITICAL,Yes,Yes,Yes,Yes,All,LCP (first product card) < 2.5s; Product images lazy loaded WebP; Infinite scroll or pagination no CLS; Filter sidebar no render block; Core Web Vitals pass,Title: Products - Shop All at CloudBasket; Meta desc; H1; BreadcrumbList schema; ProductList schema; Canonical; No duplicate pagination URLs,Filter sidebar keyboard accessible; Product cards have img alts; Pagination ARIA labeled; Skip to results; Sort dropdown labeled,Product data from trusted API only; No price manipulation client-side; Affiliate IDs protected; Search input sanitized,Product names/prices correct; Affiliate disclaimer visible; Indian pricing (INR); No out-of-stock without label; Categories correct,Filter/sort UX intuitive; Product card design consistent; Mobile grid (2-col); Load more vs pagination clear; Brand token colors applied,Filters update results correctly; Sort works (price asc/desc); Pagination works; Product card click leads to detail; Search within products works,Not Started,Test with 0 results state and full results state
8,Product Detail (New),/products/[id],Commerce,http://localhost:3000/products/123,https://cloudbasket.in/products/123,Dynamic - Product Page,CRITICAL,Yes,Yes,Yes,Yes,All,LCP (product image) < 2.5s; Image gallery lazy load; Related products defer; No CLS on price load,Schema: Product with price/availability; BreadcrumbList; Canonical per product; OG image=product image; Unique title per product; Meta desc includes product name + price,Image gallery keyboard navigable; Alt text per image; Buy CTA ARIA labeled; Review stars screen-reader readable; Accordion accessible,Affiliate redirect /go/[id] validates ID; Price data server-rendered not injectable; No exposed vendor IDs in client; External buy links noopener,Product name accurate; Price matches source; Images correct product; Description complete; Affiliate disclosure present; Buy button leads to correct retailer; Return/shipping info correct,Image gallery works; Price prominent; CTA above fold on mobile; Breadcrumb visible; Related products show,Image gallery carousel works; /go/[id] redirect fires tracking; Buy Now opens affiliate site; Add to watchlist if applicable; Share link generates correct URL,Not Started,Verify /go/[id] tracking fires before redirect
9,Product Detail (Legacy),/product/[id],Commerce,http://localhost:3000/product/123,https://cloudbasket.in/product/123,Dynamic - Product Page,HIGH,Yes,No,Yes,No,Claude AI,Same as /products/[id]; Check if this is a redirect or separate page,Canonical should point to /products/[id] if duplicate; 301 redirect check,Same as /products/[id],Same as /products/[id]; Check if route is protected or deprecated,Verify content matches /products/[id]; No orphaned route,Same as /products/[id],Verify this route either 301 redirects or renders correct content; No 404,Not Started,Investigate if this is a legacy route — consider 301 redirect to /products/[id]
10,Categories,/categories,Commerce,http://localhost:3000/categories,https://cloudbasket.in/categories,Static - Grid,HIGH,Yes,Yes,No,Yes,Lighthouse + User,Category card images WebP + lazy; LCP < 2.5s; No CLS,Title: Shop by Category; Meta desc; H1; BreadcrumbList schema; Sitemap included,Category images alt text; Card focus states; Keyboard navigable grid,No sensitive data; External category links safe,Category names accurate; Images represent correct categories; All categories have products; No empty categories shown without state,Category grid responsive; Card hover states; Mobile 2-col grid; Brand colors on cards,Each category card navigates to correct /category/[slug]; Count shows correctly if present,Not Started,Check if any categories are empty — add empty state
11,Category Detail,/category/[slug],Commerce,http://localhost:3000/category/electronics,https://cloudbasket.in/category/electronics,Dynamic - Product Grid,HIGH,Yes,Yes,No,Yes,Lighthouse + User,Same as /products but scoped to category; Category hero image optimized,Schema: BreadcrumbList + ItemList; Title: [Category] Products at CloudBasket; Canonical per slug; OG image=category image,Same as /products; Category heading readable,Search/filter input sanitized; slug validated server-side,Category products correct; Count accurate; Affiliate links correct; Breadcrumb shows correct path,Category header/hero visible; Filter sidebar; Mobile responsive grid; Breadcrumb navigation,Category filter/sort works; Products match category; Breadcrumb navigates back; Empty state if no products,Not Started,Test with actual slugs — ensure 404 for invalid slugs
12,Brands,/brands,Commerce,http://localhost:3000/brands,https://cloudbasket.in/brands,Static - Grid,MEDIUM,Yes,Yes,No,Yes,Gemini CLI + User,Brand logo images optimized; LCP < 2.5s; Alphabetical list loads fast,Title: Shop by Brand; Meta desc; H1; Schema: BrandList (custom) or ItemList; Sitemap,Brand logo alts; Keyboard navigable; Search box labeled,Slug validated; No private brand data exposed,Brand logos current; Brand names correctly spelled; All brands have products; Search works,Alphabetical layout clear; Brand logo grid responsive; Search/filter UX; Mobile layout,Brand search/filter works; Each brand card leads to /brand/[brandName]; Logos load,Not Started,Ensure logos are trademark-compliant and up to date
13,Brand Detail,/brand/[brandName],Commerce,http://localhost:3000/brand/samsung,https://cloudbasket.in/brand/samsung,Dynamic - Product Grid,MEDIUM,Yes,No,Yes,Yes,Claude AI + User,Same as category; Brand header image optimized,Schema: Brand + ItemList; Title: [Brand] Products; Canonical per brand; OG image=brand logo,Brand logo alt; Product grid accessible; Breadcrumb,brandName param validated server-side; No private brand data,Brand info accurate; Products correct for brand; Affiliate links correct,Brand header design; Product grid; Mobile layout,Brand products display; Breadcrumb works; 404 for invalid brandName,Not Started,Validate server-side that brandName is sanitized
14,Compare,/compare,Commerce,http://localhost:3000/compare,https://cloudbasket.in/compare,Interactive - Tool,HIGH,Yes,No,Yes,Yes,Claude AI + User,Comparison table renders without CLS; Product images optimized; Fast initial load,Title: Compare Products - CloudBasket; Meta desc; H1; Noindex if dynamic only; Canonical,Table accessible — headers + data cells; Keyboard navigable; Screen reader readable,Product IDs in URL validated; No price injection; Comparison data server-verified,Price data accurate; Feature comparison correct; Source links to correct products; Affiliate disclosure,Comparison table clear; Mobile horizontally scrollable; Add/remove product intuitive; CTA visible,Add product to compare works; Remove works; Price data loads correctly; Buy/view links navigate correctly,Not Started,Test with 2 and 3 products; test empty state
15,Search,/search,Commerce,http://localhost:3000/search,https://cloudbasket.in/search,Interactive - Search,CRITICAL,Yes,Yes,Yes,Yes,All,Search results render fast; LCP < 2s; Debounce on input; Lazy load result images,Title: Search Results for '[query]' — dynamic; Meta desc dynamic; Noindex or canonical; No-index duplicate search pages,Search input ARIA labeled; Results list accessible; Keyboard navigable; Loading state announced,Query sanitized server-side; No XSS via search param; Rate limiting on search API; Log search queries safely,Results relevant; Affiliate disclaimer on results; Sponsored results labeled; Zero-results state shows suggestions,Search bar prominent; Results grid clean; Filters visible; Mobile layout correct; Sponsored vs organic clear,Search query returns results; Filters refine correctly; Pagination or load-more works; Click leads to product; Search analytics fires,Not Started,Critical revenue path — test XSS with query param injection
16,Best Deals,/best-deals,Commerce,http://localhost:3000/best-deals,https://cloudbasket.in/best-deals,Dynamic - Deal Grid,HIGH,Yes,Yes,No,Yes,Lighthouse + Gemini CLI,Deal cards lazy load; LCP < 2.5s; Price/countdown no CLS,Title: Best Deals Today - CloudBasket; Meta desc; H1; Schema: ItemList; OG image; Sitemap,Deal cards accessible; Countdown timer readable by screen reader; Keyboard nav,Deal data server-side only; No price manipulation; Affiliate links validated,Prices accurate vs source; Discount % correct; Deals current — not expired; Affiliate disclosure,Deals grid responsive; Countdown visible; Mobile 1-2 col; Expiry labels clear,Deal click fires tracking; Buy Now goes to affiliate; Countdown reaches zero correctly; Refresh loads new deals,Not Started,Test expired deal behavior — should not show
17,Sale,/sale,Commerce,http://localhost:3000/sale,https://cloudbasket.in/sale,Dynamic - Sale Grid,HIGH,Yes,Yes,No,Yes,Lighthouse + User,Same as best-deals; Banner image optimized,Title: Sale - CloudBasket; Meta desc; H1 'Sale'; Schema: SiteNavigationElement or OfferCatalog; Sitemap,Sale banner alt; Product grid accessible,Sale data validated server-side; No price injection,Sale prices correct; Original prices shown; Discount legitimate; No fake urgency claims; ASCI guidelines compliant (India),Sale banner design correct; Discount badge visible; Mobile responsive,Sale items load; Buy link fires tracking; Price with discount correct,Not Started,Ensure no misleading discounts (Indian Consumer Protection Act 2019)
